File,Description,Download
Full CV,The long one,"{{% staticref ""uploads/2020Aug_Hambleton_CV.pdf"" ""newtab"" %}}pdf{{% /staticref %}} "
Brief CV,The short one,"{{% staticref ""uploads/2020Aug_Hambleton_bio.pdf"" ""newtab"" %}}pdf{{% /staticref %}} "
